iter	Passed	Remaining
0	63	63668
1	64	32218
2	65	21625
3	66	16444
4	67	13340
5	67	11222
6	68	9695
7	69	8568
8	70	7745
9	70	6996
10	71	6407
11	72	5928
12	72	5508
13	73	5182
14	73	4852
15	74	4562
16	74	4311
17	75	4097
18	75	3893
19	75	3721
20	76	3564
21	77	3423
22	77	3290
23	77	3169
24	78	3055
25	78	2951
26	79	2855
27	79	2761
28	80	2699
29	82	2677
30	83	2599
31	83	2535
32	84	2475
33	84	2408
34	85	2352
35	85	2293
36	85	2236
37	86	2184
38	86	2134
39	86	2086
40	101	2367
41	107	2444
42	113	2520
43	117	2546
44	124	2639
45	125	2593
46	125	2544
47	125	2498
48	126	2453
49	126	2407
50	127	2363
51	127	2320
52	127	2280
53	127	2240
54	128	2202
55	129	2175
56	129	2147
57	130	2115
58	130	2082
59	131	2062
60	131	2031
61	132	2000
62	132	1976
63	133	1950
64	133	1925
65	134	1906
66	135	1886
67	135	1863
68	136	1842
69	137	1824
70	138	1810
71	138	1787
72	140	1778
73	140	1759
74	141	1746
75	142	1728
76	142	1712
77	144	1711
78	146	1703
79	146	1686
80	147	1672
81	147	1653
82	147	1633
83	148	1615
84	148	1597
85	148	1580
86	149	1563
87	149	1547
88	149	1531
89	150	1517
90	150	1501
91	150	1486
92	151	1475
93	151	1461
94	152	1451
95	152	1437
96	153	1428
97	153	1415
98	154	1403
99	154	1392
100	155	1382
101	155	1370
102	156	1359
103	156	1351
104	157	1344
105	158	1335
106	158	1323
107	158	1312
108	159	1304
109	159	1293
110	160	1286
111	161	1276
112	161	1267
113	162	1259
114	162	1250
115	163	1242
116	163	1235
117	164	1229
118	165	1221
119	165	1212
120	165	1202
121	165	1194
122	167	1191
123	167	1185
124	168	1179
125	169	1174
126	170	1170
127	170	1162
128	171	1156
129	171	1150
130	172	1142
131	172	1134
132	172	1127
133	173	1120
134	174	1117
135	174	1111
136	175	1104
137	175	1097
138	175	1090
139	176	1084
140	176	1077
141	177	1069
142	177	1064
143	178	1059
144	178	1052
145	178	1046
146	179	1041
147	180	1036
148	180	1032
149	182	1034
150	183	1031
151	184	1027
152	184	1022
153	185	1018
154	186	1014
155	186	1010
156	187	1004
157	187	998
158	187	993
159	188	989
160	188	983
161	189	978
162	189	972
163	189	967
164	190	963
165	190	958
166	191	952
167	191	947
168	191	942
169	192	939
170	193	935
171	193	931
172	193	926
173	194	921
174	194	916
175	195	913
176	195	908
177	195	904
178	196	899
179	196	894
180	196	890
181	197	885
182	197	881
183	198	879
184	199	878
185	200	875
186	200	871
187	201	868
188	201	865
189	202	862
190	202	858
191	203	855
192	204	853
193	204	849
194	205	847
195	205	844
196	206	841
197	207	842
198	208	839
199	209	839
200	210	835
201	210	832
202	211	830
203	211	826
204	213	826
205	213	822
206	213	818
207	214	814
208	214	811
209	219	824
210	220	822
211	220	819
212	220	815
213	221	813
214	221	810
215	222	806
216	222	802
217	222	799
218	223	795
219	223	792
220	224	790
221	225	791
222	226	788
223	227	787
224	227	785
225	228	782
226	229	780
227	229	777
228	230	775
229	231	773
230	232	774
231	233	772
232	233	769
233	234	767
234	235	765
235	235	763
236	236	760
237	237	759
238	237	757
239	238	754
240	238	752
241	239	749
242	240	747
243	240	745
244	240	742
245	241	740
246	241	737
247	242	734
248	242	731
249	243	729
250	243	727
251	244	725
252	245	723
253	245	721
254	245	718
255	246	716
256	247	714
257	247	712
258	248	710
259	248	707
260	249	705
261	249	702
262	249	699
263	251	700
264	251	698
265	252	695
266	252	693
267	252	690
268	253	688
269	253	686
270	254	684
271	254	682
272	255	680
273	255	678
274	256	676
275	256	673
276	257	672
277	258	670
278	258	667
279	258	665
280	259	662
281	259	660
282	259	658
283	260	656
284	260	654
285	261	651
286	261	649
287	261	647
288	262	645
289	262	643
290	263	640
291	263	639
292	264	637
293	264	635
294	265	633
295	265	632
296	266	630
297	267	629
298	267	627
299	268	625
300	268	624
301	269	622
302	269	620
303	270	618
304	270	616
305	270	614
306	271	612
307	271	610
308	272	609
309	273	607
310	273	606
311	274	604
312	274	602
313	274	600
314	275	598
315	275	597
316	276	595
317	276	593
318	277	592
319	277	590
320	278	588
321	278	587
322	280	586
323	280	585
324	281	584
325	281	582
326	281	580
327	282	579
328	283	577
329	283	575
330	284	574
331	284	573
332	285	571
333	285	570
334	286	568
335	286	566
336	287	565
337	287	563
338	287	561
339	290	563
340	290	561
341	290	559
342	291	557
343	292	557
344	293	556
345	293	555
346	294	553
347	295	552
348	295	551
349	296	549
350	296	548
351	296	546
352	297	545
353	298	544
354	298	542
355	299	541
356	299	539
357	300	538
358	300	536
359	301	535
360	301	533
361	302	532
362	302	530
363	303	530
364	304	529
365	304	528
366	305	527
367	306	525
368	306	524
369	307	523
370	307	521
371	308	520
372	308	519
373	309	518
374	310	517
375	310	515
376	311	514
377	312	513
378	312	512
379	313	510
380	313	509
381	314	508
382	314	506
383	315	505
384	315	504
385	316	503
386	316	501
387	317	500
388	318	499
389	318	498
390	321	501
391	322	499
392	322	498
393	324	498
394	325	497
395	325	496
396	325	494
397	325	493
398	326	491
399	326	489
400	327	488
401	327	487
402	328	486
403	328	484
404	329	484
405	330	483
406	330	481
407	331	480
408	331	479
409	332	478
410	332	477
411	334	477
412	334	476
413	335	474
414	336	473
415	337	473
416	337	472
417	338	470
418	338	469
419	338	467
420	339	466
421	339	464
422	339	463
423	340	462
424	340	460
425	340	459
426	341	457
427	341	456
428	341	455
429	342	453
430	342	452
431	343	451
432	343	450
433	343	448
434	344	447
435	345	446
436	346	445
437	346	444
438	347	443
439	348	442
440	348	441
441	348	440
442	349	439
443	349	438
444	350	437
445	351	436
446	353	437
447	353	435
448	354	434
449	354	433
450	355	432
451	356	431
452	356	430
453	357	430
454	358	428
455	358	427
456	358	426
457	359	425
458	359	424
459	360	423
460	360	421
461	361	420
462	361	419
463	362	418
464	363	417
465	363	416
466	364	415
467	365	415
468	365	413
469	366	413
470	366	412
471	367	410
472	367	409
473	367	408
474	368	406
475	368	405
476	368	404
477	369	403
478	369	402
479	370	401
480	370	400
481	371	398
482	371	397
483	372	396
484	372	395
